Designator,Mid X,Mid Y,Rotation,Layer
BT1,132.615,87.255,0.0,top
C1,122.485,113.845,0.0,top
C10,134.995,94.905,0.0,top
C100,116.475,103.805,0.0,top
C11,122.485,108.825,0.0,top
C12,122.485,106.315,0.0,top
C13,96.425,113.845,0.0,top
C14,122.485,103.805,0.0,top
C15,96.425,111.335,0.0,top
C16,122.485,89.215,0.0,top
C17,122.485,86.705,0.0,top
C18,135.365,80.145,0.0,top
C19,122.485,84.195,0.0,top
C2,122.485,111.335,0.0,top
C20,135.365,76.795,0.0,top
C21,108.415,30.585,0.0,top
C22,108.415,28.075,0.0,top
C23,103.585,41.875,0.0,top
C24,103.585,38.525,0.0,top
C25,103.585,35.175,0.0,top
C26,108.415,25.565,0.0,top
C27,108.415,23.055,0.0,top
C28,112.425,45.645,0.0,top
C29,112.425,43.135,0.0,top
C3,108.415,45.645,0.0,top
C30,103.585,31.825,0.0,top
C31,112.425,40.625,0.0,top
C33,103.585,28.475,0.0,top
C34,112.425,35.605,0.0,top
C35,112.425,33.095,0.0,top
C36,103.585,25.125,0.0,top
C37,103.585,21.775,0.0,top
C38,103.585,18.425,0.0,top
C39,112.425,30.585,0.0,top
C4,108.415,43.135,0.0,top
C40,112.425,28.075,0.0,top
C41,112.425,25.565,0.0,top
C42,112.425,23.055,0.0,top
C43,96.425,108.825,0.0,top
C44,96.425,106.315,0.0,top
C45,96.425,103.805,0.0,top
C46,96.425,101.295,0.0,top
C47,96.425,98.785,0.0,top
C48,96.425,96.275,0.0,top
C49,96.425,93.765,0.0,top
C5,108.415,40.625,0.0,top
C50,96.425,91.255,0.0,top
C51,96.425,88.745,0.0,top
C52,100.435,113.845,0.0,top
C53,100.435,111.335,0.0,top
C54,100.435,108.825,0.0,top
C55,100.435,106.315,0.0,top
C56,100.435,103.805,0.0,top
C57,100.435,101.295,0.0,top
C58,100.435,98.785,0.0,top
C59,100.435,96.275,0.0,top
C6,108.415,38.115,0.0,top
C60,100.435,93.765,0.0,top
C61,100.435,91.255,0.0,top
C62,100.435,88.745,0.0,top
C63,104.445,113.845,0.0,top
C64,104.445,111.335,0.0,top
C65,104.445,108.825,0.0,top
C66,104.445,106.315,0.0,top
C67,104.445,103.805,0.0,top
C68,104.445,101.295,0.0,top
C69,104.445,98.785,0.0,top
C7,103.585,45.225,0.0,top
C70,104.445,96.275,0.0,top
C71,104.445,93.765,0.0,top
C72,104.445,91.255,0.0,top
C73,104.445,88.745,0.0,top
C74,108.455,113.845,0.0,top
C75,108.455,111.335,0.0,top
C76,108.455,108.825,0.0,top
C77,108.455,106.315,0.0,top
C78,108.455,103.805,0.0,top
C79,108.455,101.295,0.0,top
C8,108.415,35.605,0.0,top
C80,108.455,98.785,0.0,top
C81,108.455,96.275,0.0,top
C82,108.455,93.765,0.0,top
C83,108.455,91.255,0.0,top
C84,108.455,88.745,0.0,top
C85,112.465,113.845,0.0,top
C86,112.465,111.335,0.0,top
C87,112.465,108.825,0.0,top
C88,112.465,106.315,0.0,top
C89,112.465,103.805,0.0,top
C9,108.415,33.095,0.0,top
C90,112.465,101.295,0.0,top
C91,112.465,98.785,0.0,top
C92,112.465,96.275,0.0,top
C93,112.465,93.765,0.0,top
C94,112.465,91.255,0.0,top
C95,112.465,88.745,0.0,top
C96,116.475,113.845,0.0,top
C97,116.475,111.335,0.0,top
C98,116.475,108.825,0.0,top
C99,116.475,106.315,0.0,top
D10,49.76,85.31,0.0,top
D11,49.76,78.69,0.0,top
D12,49.76,72.07,0.0,top
D13,49.76,65.45,0.0,top
D14,49.76,58.83,0.0,top
D15,49.76,52.21,0.0,top
D16,57.88,111.79,0.0,top
D17,57.88,105.17,0.0,top
D18,57.88,98.55,0.0,top
D19,57.88,91.93,0.0,top
D20,57.88,85.31,0.0,top
D21,57.88,78.69,0.0,top
D22,57.88,72.07,0.0,top
D23,57.88,65.45,0.0,top
D24,57.88,58.83,0.0,top
D25,57.88,52.21,0.0,top
