Designator,Mid X,Mid Y,Rotation,Layer
BT1,-44.585,88.585,0.0,top
C1,-54.715,90.545,0.0,top
C10,-46.175,108.705,0.0,top
C11,-46.175,106.195,0.0,top
C12,-42.165,118.745,0.0,top
C13,-42.165,116.235,0.0,top
C14,-42.165,113.725,0.0,top
C15,-68.785,50.545,0.0,top
C16,-73.615,50.125,0.0,top
C17,-68.785,48.035,0.0,top
C18,-68.785,45.525,0.0,top
C19,-73.615,46.775,0.0,top
C2,-41.835,81.475,0.0,top
C20,-73.615,43.425,0.0,top
C21,-73.615,40.075,0.0,top
C22,-68.785,43.015,0.0,top
C23,-68.785,40.505,0.0,top
C24,-68.785,37.995,0.0,top
C26,-68.785,32.975,0.0,top
C27,-73.615,36.725,0.0,top
C28,-68.785,30.465,0.0,top
C29,-68.785,27.955,0.0,top
C3,-41.835,78.125,0.0,top
C30,-73.615,33.375,0.0,top
C31,-73.615,30.025,0.0,top
C32,-73.615,26.675,0.0,top
C33,-64.775,50.545,0.0,top
C34,-64.775,48.035,0.0,top
C35,-64.775,45.525,0.0,top
C36,-64.775,43.015,0.0,top
C37,-64.775,40.505,0.0,top
C38,-64.775,37.995,0.0,top
C39,-64.775,35.485,0.0,top
C4,-54.715,88.035,0.0,top
C40,-64.775,32.975,0.0,top
C41,-73.615,23.325,0.0,top
C42,-64.775,30.465,0.0,top
C43,-64.775,27.955,0.0,top
C44,76.0,109.5,270.0,top
C5,-54.715,85.525,0.0,top
C6,-46.175,118.745,0.0,top
C7,-46.175,116.235,0.0,top
C8,-46.175,113.725,0.0,top
C9,-46.175,111.215,0.0,top
D1,-36.965,81.855,0.0,top
D4,71.5,110.0,180.0,top
J1,-49.285,73.275,0.0,top
J2,-42.335,99.655,0.0,top
J3,-128.025,4.05,0.0,top
J4,-121.075,4.05,0.0,top
J5,-114.125,4.05,0.0,top
J6,-107.175,4.05,0.0,top
J7,-100.225,4.05,0.0,top
J8,-93.275,4.05,0.0,top
L1,-48.685,79.775,0.0,top
L2,-45.765,47.725,0.0,top
L3,-45.765,39.575,0.0,top
L4,-62.595,23.895,0.0,top
Q1,-54.925,118.63,0.0,top
Q2,-54.925,112.08,0.0,top
Q3,-54.925,105.53,0.0,top
Q4,-54.925,98.98,0.0,top
R1,-54.715,83.015,0.0,top
R11,-42.165,106.195,0.0,top
R12,-38.155,118.745,0.0,top
R14,-38.155,116.235,0.0,top
R15,-38.155,113.725,0.0,top
R16,-38.155,111.215,0.0,top
R17,-38.155,108.705,0.0,top
R18,-60.765,50.545,0.0,top
R19,-60.765,48.035,0.0,top
R2,-54.715,80.505,0.0,top
R20,-60.765,45.525,0.0,top
R21,-60.765,43.015,0.0,top
R22,-60.765,40.505,0.0,top
R23,-60.765,37.995,0.0,top
R24,-60.765,35.485,0.0,top
R25,-60.765,32.975,0.0,top
R26,-60.765,30.465,0.0,top
R27,-60.765,27.955,0.0,top
R28,-56.755,50.545,0.0,top
R3,-54.715,77.995,0.0,top
R30,-56.755,45.525,0.0,top
R31,-56.755,43.015,0.0,top
R32,-56.755,40.505,0.0,top
R33,-56.755,37.995,0.0,top
R34,-56.755,35.485,0.0,top
R35,-56.755,32.975,0.0,top
R36,-56.755,30.465,0.0,top
R37,-56.755,27.955,0.0,top
R38,-52.745,50.545,0.0,top
R39,-52.745,48.035,0.0,top
R4,-54.715,75.485,0.0,top
R40,-52.745,45.525,0.0,top
R41,-52.745,43.015,0.0,top
R42,-52.745,40.505,0.0,top
R43,-52.745,37.995,0.0,top
R44,-80.445,50.545,0.0,top
R45,-80.445,48.035,0.0,top
R46,-80.445,45.525,0.0,top
R47,-80.445,43.015,0.0,top
R48,-80.445,40.505,0.0,top
R5,-54.715,72.975,0.0,top
R51,-60.725,101.175,0.0,top
R52,-60.725,98.665,0.0,top
R6,-54.715,70.465,0.0,top
R7,-42.165,111.215,0.0,top
U1,-41.63,73.795,0.0,top
U10,-106.975,23.525,0.0,top
U11,-86.7,7.17,270.0,top
U12,-88.075,3.11,0.0,top
U13,-80.57,90.48,0.0,top
U2,-34.89,97.405,0.0,top
U3,-32.96,101.785,90.0,top
U4,-67.94,24.725,0.0,top
U5,-56.32,24.225,0.0,top
U6,-48.5,24.475,0.0,top
U7,-67.94,20.775,0.0,top
U8,-48.165,33.1,180.0,top
U9,-48.165,28.475,180.0,top
